rst,area_ha,fsID,pub_priv,HYBRID,BAU,WOOD,BIO
4_2,1.519,2484,1,2,2,2,1
4_2,3.121,2482,1,2,2,2,2
4_2,1.312,2487,1,2,2,2,2
4_2,2.428,2485,1,2,2,2,2
4_2,6.034,2478,1,2,2,2,2
4_2,3.145,2477,1,2,2,2,2
4_2,0.893,2481,1,2,2,2,2
4_2,5.983,2480,1,2,2,2,2
4_2,4.534,2497,1,2,2,2,2
4_2,1.233,2496,1,2,2,2,2
4_2,2.089,2501,1,2,2,2,2
4_2,1.353,2500,1,2,2,2,2
4_2,1.348,2489,1,2,2,2,2
4_2,2.447,2488,1,2,2,2,2
4_2,4.101,2493,1,2,2,2,2
4_2,0.066,2490,0,2,2,2,2
4_2,2.455,2463,1,2,2,2,2
4_2,0.326,2462,1,2,2,2,2
4_2,0.114,2465,1,2,2,2,1
4_2,1.465,2464,1,2,2,2,1
4_2,2.011,2458,1,2,2,2,2
4_2,1.119,2456,1,2,2,2,2
4_2,0.606,2461,1,2,2,2,2
4_2,0.967,2460,1,2,2,2,2
4_2,1.759,2473,1,2,2,2,2
4_2,3.580,2472,1,2,2,2,2
4_2,2.868,2476,1,2,2,2,2
4_2,0.719,2474,1,2,2,2,2
4_2,1.055,2468,1,2,2,2,2
4_2,0.978,2466,1,2,2,2,2
4_2,0.180,2471,0,2,2,2,2
4_2,3.403,2469,1,2,2,2,2
4_2,4.669,2439,1,2,2,2,2
4_2,1.551,2438,1,2,2,2,2
4_2,4.088,2444,1,2,2,2,2
4_2,1.290,2440,1,2,2,2,2
4_2,0.691,2432,1,2,2,2,2
4_2,2.656,2431,1,2,2,2,2
4_2,1.641,2437,1,2,2,2,2
4_2,1.533,2435,1,2,2,2,2
4_2,1.171,2453,1,2,2,2,2
4_2,1.187,2452,1,2,2,2,2
4_2,0.381,2455,1,2,2,2,2
4_2,2.890,2454,1,2,2,2,1
4_2,4.602,2446,1,2,2,2,2
4_2,0.354,2445,1,2,2,2,2
4_2,1.926,2450,1,2,2,2,2
4_2,0.793,2449,1,2,2,2,2
4_2,2.990,2413,1,2,2,2,2
4_2,1.501,2412,1,2,2,2,2
4_2,1.734,2417,1,2,2,2,2
4_2,1.871,2416,1,2,2,2,2
4_2,0.321,2407,1,2,2,2,2
4_2,2.777,2406,1,2,2,2,2
4_2,2.362,2409,1,2,2,2,2
4_2,2.257,2408,0,2,2,2,2
4_2,2.827,2425,1,2,2,2,2
4_2,1.377,2424,1,2,2,2,2
4_2,0.556,2428,1,2,2,2,2
4_2,1.151,2427,1,2,2,2,2
4_2,5.006,2419,1,2,2,2,2
4_2,1.086,2418,1,2,2,2,2
4_2,0.221,2422,1,2,2,2,2
4_2,0.589,2421,1,2,2,2,2
4_2,0.840,2392,1,2,2,2,2
4_2,1.637,2389,1,2,2,2,2
4_2,1.458,2394,1,2,2,2,2
4_2,3.167,2393,0,2,2,2,2
4_2,0.672,2384,1,2,2,2,2
4_2,1.879,2383,1,2,2,2,2
4_2,0.089,2388,0,2,2,2,2
4_2,5.228,2387,1,2,2,2,2
4_2,1.666,2401,1,2,2,2,2
4_2,2.856,2400,1,2,2,2,2
4_2,0.512,2404,1,2,2,2,2
4_2,6.155,2402,1,2,2,2,2
4_2,1.038,2396,1,2,2,2,2
4_2,1.891,2395,1,2,2,2,2
4_2,0.576,2398,0,2,2,2,2
4_2,2.832,2397,1,2,2,2,2
4_1,2.214,2366,1,2,2,2,2
4_1,8.383,2365,1,2,2,2,1
4_1,3.939,2368,1,2,2,2,2
4_1,3.431,2367,1,2,2,2,2
4_1,2.730,2362,1,2,2,2,2
4_1,4.340,2361,1,2,2,2,2
4_1,2.784,2364,1,2,2,2,2
4_1,4.998,2363,1,2,2,2,2
4_2,0.799,2377,1,2,2,2,2
4_2,1.078,2376,1,2,2,2,2
4_2,1.127,2382,1,2,2,2,2
4_2,2.014,2381,1,2,2,2,2
4_1,1.470,2371,1,2,2,2,2
4_1,3.817,2369,0,2,2,2,2
4_2,4.499,2375,1,2,2,2,2
4_1,3.162,2372,1,2,2,2,2
4_1,3.001,2342,1,2,2,2,2
4_1,3.883,2341,0,2,2,2,2
4_1,0.749,2345,1,2,2,2,2
4_1,0.942,2344,1,2,2,2,2
4_1,1.713,2336,1,2,2,2,2
4_1,1.708,2335,1,2,2,2,2
4_1,2.950,2340,1,2,2,2,2
4_1,0.887,2338,1,2,2,2,2
4_1,4.674,2354,1,2,2,2,2
4_1,3.854,2353,1,2,2,2,1
4_1,5.712,2360,1,2,2,2,2
4_1,0.199,2358,0,2,2,2,2
4_1,1.573,2349,1,2,2,2,2
4_1,1.104,2348,1,2,2,2,2
4_1,2.201,2352,1,2,2,2,2
4_1,0.247,2351,1,2,2,2,2
4_1,1.646,2318,1,2,2,2,2
4_1,4.315,2316,1,2,2,2,2
4_1,2.789,2321,1,2,2,2,2
4_1,2.644,2320,1,2,2,2,2
4_1,0.347,2312,0,2,2,2,2
4_1,3.604,2311,1,2,2,2,2
4_1,0.136,2315,1,2,2,2,2
4_1,3.663,2313,1,2,2,2,2
4_1,2.569,2327,1,2,2,2,2
4_1,1.415,2326,1,2,2,2,2
4_1,3.417,2330,1,2,2,2,2
4_1,9.980,2329,1,2,2,2,1
4_1,4.881,2323,0,2,2,2,2
4_1,0.533,2322,1,2,2,2,2
4_1,2.793,2325,1,2,2,2,2
4_1,3.324,2324,1,2,2,2,2
4_1,8.527,2296,1,2,2,2,2
4_1,3.882,2294,1,2,2,2,2
4_1,4.849,2298,1,2,2,2,2
4_1,3.216,2297,1,2,2,2,2
4_1,0.877,2289,0,2,2,2,2
4_1,0.920,2288,1,2,2,2,2
4_1,0.334,2293,1,2,2,2,2
4_1,5.130,2290,1,2,2,2,2
4_1,1.508,2308,0,2,2,2,2
4_1,5.391,2305,1,2,2,2,2
4_1,0.542,2310,0,2,2,2,2
4_1,0.481,2309,0,2,2,2,2
4_1,2.145,2300,1,2,2,2,2
4_1,5.359,2299,1,2,2,2,2
4_1,0.305,2303,1,2,2,2,2
4_1,0.775,2301,0,2,2,2,2
4_1,3.369,2271,1,2,2,2,2
4_1,4.893,2270,1,2,2,2,2
4_1,1.170,2275,1,2,2,2,2
4_1,0.692,2273,0,2,2,2,2
2_2,0.045,2263,1,2,2,2,2
2_2,6.061,2262,1,2,2,2,2
4_1,3.986,2269,1,2,2,2,2
4_1,5.140,2266,1,2,2,2,2
4_1,0.127,2284,1,2,2,2,2
4_1,2.096,2283,1,2,2,2,2
4_1,3.843,2287,1,2,2,2,2
4_1,4.071,2286,1,2,2,2,2
4_1,0.116,2277,0,2,2,2,2
4_1,1.580,2276,1,2,2,2,2
4_1,0.942,2279,1,2,2,2,2
4_1,2.333,2278,1,2,2,2,2
2_1,0.439,2243,1,2,2,2,2
2_1,2.004,2242,1,2,2,2,2
2_2,1.360,2248,0,2,2,2,2
2_1,0.582,2245,1,2,2,2,2
2_1,1.772,2239,1,2,2,2,2
5_3,4.355,2236,1,2,2,2,2
2_1,4.306,2241,1,2,2,2,2
2_1,4.674,2240,0,2,2,2,2
