#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
#Summe:;28;Tanne;101;2;2033;46.8900078153798;24.0;;;;;;;;1.83;2.06;;;197.75;
#
131;29;Tanne;101;2;2033;22.3092190953583;14.0;L1;2a;0.3;4.5;21.11;20.31;18.12;0.14;0.15;0.0;0.12;12.87;
132;29;Tanne;101;2;2033;22.3092190953583;14.0;L1;1b;4.9;3.5;18.01;16.18;14.36;0.07;0.08;0.0;0.04;5.11;
133;29;Tanne;101;2;2033;22.3092190953583;14.0;L1;1a;8.5;5.0;14.25;10.59;2.58;0.04;0.05;0.0;0.0;2.12;
134;29;Tanne;101;2;2033;22.3092190953583;14.0;Restholz 1;Restholz 1;13.6;0.4;2.09;1.08;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;29;Tanne;101;2;2033;22.3092190953583;14.0;;;;;;;;0.25;0.28;;;20.11;
#
135;30;Tanne;101;2;2033;31.8574321384165;18.0;L2;2b;0.3;12.0;30.57;25.36;18.22;0.6;0.68;0.0;0.07;60.91;
136;30;Tanne;101;2;2033;31.8574321384165;18.0;L1;1a;12.4;5.5;18.07;12.22;0.6;0.07;0.08;0.0;0.0;3.27;
#Summe:;30;Tanne;101;2;2033;31.8574321384165;18.0;;;;;;;;0.67;0.75;;;64.18;
#
137;31;Tanne;101;2;2033;15.0436219214348;10.0;L2;1a;0.3;9.5;14.09;10.71;1.03;0.09;0.1;0.0;0.0;4.28;
138;31;Tanne;101;2;2033;15.0436219214348;10.0;Restholz 1;Restholz 1;9.9;0.1;0.53;0.27;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;31;Tanne;101;2;2033;15.0436219214348;10.0;;;;;;;;0.09;0.1;;;4.28;
#
139;32;Tanne;101;2;2033;21.318161059952;13.0;L2;1b;0.3;7.0;20.11;18.08;14.31;0.17;0.2;0.0;0.05;12.87;
140;32;Tanne;101;2;2033;21.318161059952;13.0;L1;1a;7.4;5.5;14.2;10.3;0.57;0.04;0.05;0.0;0.0;2.2;
#Summe:;32;Tanne;101;2;2033;21.318161059952;13.0;;;;;;;;0.22;0.25;;;15.06;
#
141;33;Tanne;101;2;2033;50.2342315546661;25.0;L2;4;0.3;14.0;49.15;40.19;32.1;1.79;2.01;0.0;0.41;199.38;
142;33;Tanne;101;2;2033;50.2342315546661;25.0;L2;2b;14.4;6.5;31.97;26.74;18.81;0.35;0.41;0.0;0.05;35.8;
143;33;Tanne;101;2;2033;50.2342315546661;25.0;L1;1a;21.0;3.5;18.5;12.0;3.11;0.04;0.05;0.0;0.0;2.11;
144;33;Tanne;101;2;2033;50.2342315546661;25.0;Restholz 1;Restholz 1;24.6;0.4;2.51;1.28;0.0;0.0;0.0;0.0;0.0;0.0;
