fsID,area,HYBRID,ProtFor,fs_NatRes,fs_NatProt,BAU,WOOD,BIO,ds,Cluster_ID,ds_text,rst,SEmme,Above1000m,area_ha,age,elev,SHORTNAME
876,1170,3,0,0,0,3,3,3,ds2,146.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.117,young,1026.2,Escholzmatt
880,13958,3,0,0,0,3,3,3,ds4,18.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.396,not_young,1003.9,Fontannen b. W.
899,17056,3,0,0,0,3,3,3,ds3,2106.0,Stangenholz,Stangenholz_6,1,1,1.706,not_young,1089.2,Escholzmatt
911,51901,3,0,0,0,3,3,1,ds5,6048.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,5.19,not_young,965.5,Romoos
915,30872,4,0,0,0,3,4,3,ds3,48.0,Stangenholz,Stangenholz_6,1,1,3.087,not_young,1087.0,Escholzmatt
920,6845,3,0,0,0,3,3,3,ds1,174.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,0.684,young,971.8,Escholzmatt
921,18787,3,0,0,0,3,3,3,ds4,2030.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.879,not_young,1071.0,Escholzmatt
928,14758,4,1,0,1,2,4,2,ds2,96.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,1.476,young,772.7999999999998,Hasle LU
932,33525,3,0,0,0,3,3,1,ds3,38.0,Stangenholz,Stangenholz_6,1,1,3.353,not_young,1100.0,Fontannen b. W.
938,33540,2,1,0,1,2,2,2,ds5,3990.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,3.354,not_young,881.7,Schüpfheim
941,26719,3,0,0,0,3,3,3,ds1,150.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,2.672,young,1150.4,Schüpfheim
963,13811,3,0,0,0,3,3,3,ds4,1980.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.381,not_young,953.9,Escholzmatt
965,21477,2,1,0,1,2,2,2,ds6,3900.0,Starkes Baumholz,Starkes Baumholz_13,1,1,2.148,not_young,981.0,Escholzmatt
971,4833,2,1,0,1,2,2,2,ds1,123.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,0.483,young,919.7,Fontannen b. W.
976,21556,3,0,0,0,3,3,3,ds3,2025.0,Stangenholz,Stangenholz_6,1,1,2.156,not_young,1103.9,Escholzmatt
