#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
161;Ahorn;203;175;2018;1.256712221709751;0;2.411121659908482
162;Ahorn;203;175;2018;1.256712221709751;0;2.411121659908482
163;Ahorn;203;175;2018;1.2942622398668429;0;2.44154213782275
164;Ubrige Laubholzer;299;175;2018;1.1481615605581834;0;2.829463555456756
165;Ubrige Laubholzer;299;175;2018;1.2235186049445694;0;2.7915371535948372
166;Ubrige Laubholzer;299;175;2018;1.2235186049445694;0;2.7915371535948372
167;Ubrige Laubholzer;299;197;2018;1.4269387564006557;0;3.1692156187570326
168;Ubrige Laubholzer;299;197;2018;1.4269387564006557;0;3.1692156187570326
169;Fichte;100;6;2019;29.35124709116695;0;26.16146280213413
170;Fichte;100;6;2019;36.89112199572218;0;30.59008884927122
171;Fichte;100;6;2019;35.69696178364963;0;29.95448291906874
172;Fichte;100;6;2019;42.31516296150229;0;33.37773880798796
173;Fichte;100;6;2019;32.11325509056848;0;27.8791037800496
174;Fichte;100;6;2019;32.30021769771399;0;27.969649598230422
175;Fichte;100;6;2019;23.158803772399985;0;21.96335722992837
176;Fichte;100;6;2019;8.343429887159013;0;9.810722433593156
177;Fichte;100;6;2019;37.73819158358627;0;31.00220528057301
178;Fichte;100;6;2019;48.35526076757768;0;36.22530683696987
179;Fichte;100;11;2019;1.6504710442595631;0;3.1452535125352443
180;Ubrige Laubholzer;299;11;2019;1.3334422881909662;0;3.05877030511986
181;Ubrige Laubholzer;299;11;2019;1.598462686210495;0;3.399313355989019
182;Fichte;100;12;2019;32.25876034761372;0;27.928808367982946
183;Fichte;100;25;2019;1.6465511586553252;0;3.127581723001453
184;Fichte;100;25;2019;1.7036744616269293;0;3.178107443912763
185;Ahorn;203;25;2019;1.6520935584490626;0;2.730352964297677
186;Ubrige Laubholzer;299;25;2019;1.539485764577759;0;3.296435320750224
187;Ubrige Laubholzer;299;25;2019;1.539485764577759;0;3.296435320750224
188;Ubrige Laubholzer;299;25;2019;1.539485764577759;0;3.296435320750224
189;Fichte;100;41;2019;1.6715852475077817;0;3.1899778651658828
190;Ahorn;203;43;2019;1.4378581042751304;0;2.5636682479312305
191;Ahorn;203;43;2019;1.4378581042751304;0;2.5636682479312305
192;Fichte;100;50;2019;1.3252119735676908;0;2.7879442476827285
193;Fichte;100;50;2019;1.4131474747036088;0;2.880868330917341
194;Ubrige Laubholzer;299;50;2019;1.3480324305935112;0;2.9310928409078336
195;Ubrige Laubholzer;299;50;2019;1.3921249492773506;0;2.9802690773903775
196;Ubrige Laubholzer;299;50;2019;1.3921249492773506;0;2.9802690773903775
197;Ubrige Laubholzer;299;50;2019;1.3921249492773506;0;2.9802690773903775
198;Fichte;100;76;2019;15.753697080743503;0;16.192336170639496
199;Fichte;100;76;2019;1.8957228124956969;0;3.378128288439742
200;Fichte;100;81;2019;26.0771016554074;0;23.96058288152096
201;Foehre;102;88;2019;1.379246151887169;0;2.8239633757253326
202;Ubrige Laubholzer;299;88;2019;1.299526742771616;0;2.887967818028373
203;Fichte;100;91;2019;1.843505082794009;0;3.33487857138441
204;Ubrige Laubholzer;299;91;2019;1.5149085202424968;0;3.262674590630226
