area_ha,alt_zone,type,age,BAU,HYBRID,WOOD,NONE,BIO,fsID,ds,rst,distance,elev,SHORTNAME
0.3,12,plant10,young,3,4,4,0,3,7316,Jungwuchs/Dickung,Jungwuchs/Dickung_12,37.07848208183708,1581.5,Disentis/Mustér
0.7,12,plant10,young,3,4,4,0,3,7354,Jungwuchs/Dickung,Jungwuchs/Dickung_12,72.15360109342272,1513.4,Rueras
0.5,11,prot_no_nat,young,2,2,2,0,2,7351,Jungwuchs/Dickung,Jungwuchs/Dickung_11,17.711919382116854,1239.8,Trun
0.5,11,prot_no_nat,young,2,2,2,0,2,6842,Jungwuchs/Dickung,Jungwuchs/Dickung_11,23.348987792234603,1418.8,Zignau
3.1,12,plant10,young,3,4,4,0,3,7355,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1382.5,Surrein
2.4,12,plant10,young,3,4,4,0,3,7362,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1461.1,Pigniu
3.3,12,res_no_prot,not_young,1,1,1,0,1,1,Mittleres Baumholz,Mittleres Baumholz_12,,1494.9,Disentis/Mustér
23.9,8,res_no_prot,not_young,1,1,1,0,1,2,Stangenholz,Stangenholz_8,,1666.9,Sedrun
12.8,11,res_no_prot,not_young,1,1,1,0,1,3,Mittleres Baumholz,Mittleres Baumholz_11,,1213.0,Cavardiras
3.2,11,res_no_prot,not_young,1,1,1,0,1,4,Stangenholz,Stangenholz_11,,1025.2,Cavardiras
2.7,11,res_no_prot,not_young,1,1,1,0,1,5,Mittleres Baumholz,Mittleres Baumholz_11,,1010.4,Cavardiras
9.9,5,res_no_prot,not_young,1,1,1,0,1,6,Mittleres Baumholz,Mittleres Baumholz_5,,1977.5,Cavardiras
3.1,11,res_no_prot,not_young,1,1,1,0,1,7,Mittleres Baumholz,Mittleres Baumholz_11,,1010.8,Cavardiras
14.5,8,res_no_prot,not_young,1,1,1,0,1,8,Mittleres Baumholz,Mittleres Baumholz_8,,1673.4,Sedrun
1.0,8,res_no_prot,not_young,1,1,1,0,1,9,Starkes Baumholz,Starkes Baumholz_8,,1519.5,Rueras
5.7,8,res_no_prot,not_young,1,1,1,0,1,10,Mittleres Baumholz,Mittleres Baumholz_8,,1836.6,Cavardiras
7.7,8,res_no_prot,not_young,1,1,1,0,1,11,Starkes Baumholz,Starkes Baumholz_8,,1634.7,Sedrun
27.3,5,res_no_prot,not_young,1,1,1,0,1,12,Mittleres Baumholz,Mittleres Baumholz_5,,1950.9,Curaglia
1.9,11,res_no_prot,not_young,1,1,1,0,1,13,Schwaches Baumholz,Schwaches Baumholz_11,,1050.9,Cavardiras
